tg,fa
Гардез,گردیز
Гардезӣ,گردیزی
Ортур Ҳорден,آرتور هاردن
Гарднерс Крик,گاردینر کرک
Гарет Бейл,گرت بیل
Гари Медел,گری مدل
Гари Уранга,گری اورانگا
Занҷабил,زنجبیل
Гармеҳ,گرمه
Тобиши гармоӣ,تابش گرمایی
Гармо,گرما
Гармогир,گرماگیر
Создаҳанӣ,سازدهنی
Гармсор,گرمسار
Гарри Шендлинг,گری شندلینگ
Фурудгоҳи Грейт Барриер,فرودگاه گریت بریر
Гас Поет,گاس پویت
Гаспар Панадеро,گاسپار پانادرو
Гаспар Рубио,گاسپار روبیو
Гаспра,گاسپرا ۹۵۱
Ҳерберт Спенсер Гассер,هربرت اسپنسر گسر
Гастон Гурусеага,گاستون گروسگا
Гастон Думерг,گاستون دومرگ
Гастон Перейро,گستون پریرو
Гастон Рамирес,گاستون رامیرس
Гастон Силва,گاستون سیلوا
Гастростомия,گاستروستومی
Гастроэнтерит,گاستروانتریت
Пизишкии гувориш,پزشکی گوارش
Гатванд,گتوند
Сэмюэл Гаудсмит,ساموئل گودسمیت
Гаумот,گئومات
Ҳаусманит,هوسمانیت
Гач,گچ
Гачбурӣ,گچ‌بری
Доминик Ҳашек,دومینیک هاشک
Гашурн,گاشورن
Гигабайт,گیگابایت
Гваделупа,گوادلوپ
Гвалберту Биоруел,گوآلبرتو بیاروئل
Гвардейск,گواردیسک
Франческо Гварди,فرانچسکو گواردی
"Гварини, Гварино",گوارینو گوارینی
Гватемала,گواتمالا
Гверчино,گوئرچینو
Гвианаи Биритониё,گویان بریتانیا
Гданск,گدانسک
Халиҷи Гданск,خلیج گدانسک
Гдиня,گدنیا
Геб,گب
Ҳонс Гейгер,هانس گایگر
Гейша,گیشا
Ҳектор,هکتار
Ҷон Кеннет Гэлбрейт,جان کنت گالبرایت
Гелиболу,گلیبولو
Ҳелиюс,هلیوس
Устони Гелон,استان گیلان
Гелони ғарб,گیلانغرب
Шамсои Гелонӣ,شمسای گیلانی
Ҳемотит,هماتیت
Хуншиносӣ,خون‌شناسی
Ҳематома,هماتوم
Ҳемоглобин,هموگلوبین
Ҷинсият,جنسیت
Наслкушӣ,نسل‌کشی
Ҷуғрофиё,جغرافیا
Заминсанҷӣ,زمین‌سنجی
Заминпӯёшиносӣ,زمین‌پویایی‌شناسی
Заминшимӣ,زمین‌شیمی
Заминшиносӣ,زمین‌شناسی
Заминшиносии дарёӣ,زمین‌شناسی دریایی
Заминшиносии муҳандисӣ,زمین‌شناسی مهندسی
Заминшиносии сохторӣ,زمین‌شناسی ساختاری
Ҳандасаи уқлидусӣ,هندسه اقلیدسی
Ҳандасаи мутлақ,هندسه مطلق
Ҳандасаи ноуқлидусӣ,هندسه نااقلیدسی
Георгий Гахария,گیورگی گاخاریا
Георгий Гречко,گئورگی گرچکو
Георгиос Тситас,گئورگیوس تسیتاس
Назарияи заминмарказӣ,نظریه زمین‌مرکزی
Заминновдис,زمین‌ناودیس
Замингоҳшиносӣ,زمین‌گاه‌شناسی
Ҳепорин,هپارین
Ҳепотит,هپاتیت
Ҳеро,هرا
Ҳероклидус Понтикус,هراکلیدس پونتیکوس
Ҳероклитус,هراکلیتوس
Ҷералд Форд,جرالد فورد
Нишоншиносӣ,نشان‌شناسی
Гералдо Франсиско Дус Сантос,گرالدو فرانسیسکو دوس سانتوس
Гераниол,گرانیول
Ҳербориюм,هرباریوم
Герги Музaкa,گیرگی موزاکا
Пирпизишкӣ,پیرپزشکی
Герман Белтран,گرمن بلتران
Олмон,آلمان
Ҳерменевтика,هرمنوتیک
Ҳеруин,هروئین
Ҳерони Искандарӣ,هرون اسکندرانی
Пиришиносӣ,پیری‌شناسی
Герош,گراش
Ҷорҷ Гершвин,جرج گرشوین
Ҳетерозис,هتروزیس
Ноҳамрангии инабия,ناهمرنگی عنبیه
Ҳефоэстус,هفائستوس
Ҳефестиюн,هفستیون
Мел Гибсон,مل گیبسون
Гига-,گیگا
Гигабит,گیگابیت
Гидо Алваренга,گیدو آلورنگا
Обшиносӣ,آب‌شناسی
Гиду Вилдусу,گیدو ویلدوسو
Гийон,گیان
Гил Мунтадас,گیل مونتاداس
Гилгамеш,گیلگمش
Эмил Гилелс,امیل گیللس
Гилермо Амор,گیلرمو آمور
Гилермо Варела,گیلرمو وارلا
Гилермо Риверос,گیلرمو ریوراس
Гилермо Субябре,گلیرمو سابایبر
Гилхурак,گل‌خورک
Суруди миллии Ҷумҳурии Шӯравии Сотсиалистии Тоҷикистон,سرود ملی جمهوری شوروی سوسیالیستی تاجیکستان
Суруди миллии Тоҷикистон,سرود ملی تاجیکستان
Пизишкии занон,پزشکی زنان
Ҳипотиё,هیپاتیا
Гирдбод,گردباد
Гирдоб,گرداب
Гиреҳи мадор,گره مداری
Гирифт,گرفت
Гириҷа Прасад Коирала,گیریجا پراساد کویرالا
Гравитон,گراویتون
Қутбнамои гардишсанҷ,قطب‌نمای گردش‌سنج
Гирониш,گرانش
Роман Гиршман,رومن گیرشمن
Гитор,گیتار
Гладиатор,گلادیاتور
Глосгу,گلاسگو
Доналд Артур Глазер,دونالد آرتور گلایزر
Глаукофан,گلوکوفان
Гленда Ҷаксон,گلندا جکسون
Гликозурия,گلیکوزوری
Михаил Глинка,میخائیل گلینکا
Ҷаҳонишудан,جهانی شدن
Ҷаҳонишудани иқтисодӣ,جهانی شدن اقتصاد
Глобулин,گلوبولین
"Гловурсвил,Ню-Йорк",گلوورسویل، نیویورک
Глория Гейнор,گلوریا گینور
Глутатион,گلوتاتیون
Шелдон Лӣ Глэшоу,شلدون لی گلاشو
Кристоф Виллибалд Глюк,کریستف ویلیبالد گلوک
Глюкагон,گلوکاگون
Глюкоза,گلوکز
Глюкокортикоидҳо,گلوکوکورتیکوئید
Глюон,گلوئون
Гнассингбе Еядема,گناسینگبی ایادیما
Гнейс,گنیس
Маърифатшиносӣ,معرفت‌شناسی
Гов (филм),گاو (فیلم)
Говинда,گوویندا
Говмеш,گاومیش
Николай Гогол,نیکلای گوگول
Елена Гоголева,ایلنا گوگولوا
Гозхон,گزخان
Голикеш,گالیکش
Голитсино,گولیتسینو
Тамомнигорӣ,تمام‌نگاری
Ҳолодомор,هولودومور
Голуэй,گالوی
Голф,گلف
Голфстрим,گلف استریم
Гомел,گومل
Гонг,گونگ
Гондвана,گوندوانا
Ҳондурас,هندوراس
Гониометр,گونیومتر
Ҳонгконг,هنگ کنگ
Ҳунулулу,هونولولو
Гонсало Бонастре,گونسالو بوناستر
Гонсало Марони,گونسالو مارونی
Олег Гончаренко,اولگ گونچارنکو
Наталя Гончарова,ناتالیا گنچاروا
Ғончӣ,غانچی
Горанбой,گورانبوی
Екатерина Гордеева,اکاترینا گوردیوا
Гордон Браун,گوردون براون
Горка Брит,گورکا بریت
Горка Гарсия,گورکا گارسیا
Горка Итурраспе,گورکا ایتورراسپ
Горка Лаборда,گورکا لابوردا
Горка Ларреа,گرکا لاررا
Горка Пинтадо,گورکا پینتادو
Горка Сантамария,گورکا سانتاماریا
Горка Унда,گورکا اوندا
Горка Элустондо,گورکا لوستوندو
Ҳормон,هورمون
Горно-Алтайск,گورنو-آلتایسک
Гуто,گوتا
Готланд,گوتلاند
Готтлиб Даймлер,گوتلیب دایملر
Готфрид Лейбнитс,گوتفرید لایبنیتس
Готҳо,گاتاها
Гоша Кутсенко,گوشا کوتسنکو
Гояния,گویانیا
Гояс,گوییاس
Гоҳанбор,گاهنبار
Тақвим,تقویم
Игор Грабар,ایگور گرابار
Дастури забон,دستور زبان
Гран-Чако,گرن چاکو
Гранада (Никарагуа),گرانادا (نیکاراگوئه)
Гранд Валли (Блек Филд),گرند ولی (بلک فیلد)
Рагнар Гранит,راگنار گرانیت
Гранодиорит,گرانودیوریت
Эдвин Грантовский,ادوین گرانتوسکی
Гранулёма,گرانولوم
Ҳерман Грассман,هرمان گراسمان
Хоритес,خاریتس
Мунҳании имконоти тавлид,منحنی امکانات تولید
Графит,گرافیت
Деворнигорӣ,دیوارنگاری
Грегорио Бенито,گرگوریو بنیتو
Грегорио Бласко,گرگوریو بلاسکو
Грегорио Фонсека,گرگوریو فونسکا
Грейпфрут,گریپ‌فروت
Гремячинск,گرمیاچینسک
Гренада,گرنادا
Гренланд,گرینلند
Гренобл,گرونوبل
Грета Тунберг,گرتا تونبرگ
Гривняи Украина,گریونا اوکراین
Эдвард Григ,ادوارد گریگ
Григорий Перелман,گریگوری پرلمان
Гриссом Аероплекс,گریسوم آئروپلکس
Флуренс Гриффит-Ҷуйнер,فلورنس گریفیت-جوینر
Евгений Гришин,یوگنی گریشین
Оксана Гришук,اوکسانا گریشوک
Фурудгоҳи Грейвелбург,فرودگاه گراولبورگ
Грозний Авиа,گروزنی اویا
Гротеск,گروتسک
Фурудгоҳи Гратиот Коммюнити,فرودگاه گراتیت کمیونیتی
Грош,گروش
Ҷумҳурии Шӯравии Сотсиалистии Гурҷистон,جمهوری شوروی سوسیالیستی گرجستان
Грэй Дэймон,گری دیمون
Грэр Гарсон,گریر گارسون
Эрнст Грэфенберг,ارنست گرفنبرگ
Грязи,گریازی
Грязоветс,گریازووتس
Гуам,گوآم
Гуанидин,گوانیدین
Гуардия-Ломбарди,گواردیا لومباردی
Гуаш,گواش
Гуаякил,گوایاکیل
Губаха,گوباخا
Губкин,گوبکین
Губкинский,گوبکینسکیی
Гугуш,گوگوش
Гударз,گودرز
Гудаута,گوئادوتا
Гудермес,گودرمس
Гудорсабз,گدارسبز
Гузар (шаҳр),گذار (شهر)
Гузар аз кирмчола,گذر از کرم‌چاله
Гузари Бод,گذر باد
Ниёкон,نیاکان
Гузгон,گوزگان
Гузоришгар,گزارشگر
Гуидо Абайян,گیدو آبائیان
Гуйнет Палтро,گوئینت پالترو
Гул,گل
Гулбарг,گلبرگ
Гулдӯзӣ,گل‌دوزی
Гулзорилол Нанда,گلزار لعل ناندا
Гули товус,گل طاووسی
Гулистон (Ӯзбекистон),گلستان (ازبکستان)
Гулистони ҳунар,گلستان هنر
Гулкевичи,گولکویچی
Гулназар Келдӣ,گل‌نظر کلدی
Гулоб,گلاب
Гулпоягон,گلپایگان
Гулқанд,گلقند
Гулшан Гровер,گلشن گروور
Гулшани роз,گلشن راز
Ҳушанг Гулшерӣ,هوشنگ گلشیری
Гулӯ,گلو
Гунбад,گنبد
Гумрук,گمرک
Гунбади Ковӯс,گنبد کاووس
Гунзолу Санчиз де Лазодо,گونزالو سانچز دی لوزادا
Гунё,گونیا
Гунобод,گناباد
Ришод Нурӣ Гунтекин,رشاد نوری گونتکین
Гунҷишки хонагӣ,گنجشک خانگی
Гунӣ,گونی
Гуорди Ҳаити,گورد هائیتی
Гурбаҳо (музикол),گربه‌ها (موزیکال)
Гург,گرگ
Гурген Хачатрян,گورگن خاچاتریان
Гурги Копитул,گرگ کاپیتول
Гургон,گرگان
Гургонрӯд,گرگان‌رود
Нодин Гурдимер,نادین گوردیمر
Гурдофарид,گردآفرید
Михаил Гуревич,میخائیل گورویچ
Гурз,گرز
Гурминҷ Завқибеков,گورمینج زاوقیبکوف
Гурмит Чаудҳарӣ,گورمیت چودهری
Гуру,گورو
Гурӯи Зиреҳ,گروی زره
Гуруснагӣ,گرسنگی
Гурӯҳ (риёзиёт),گروه (ریاضیات)
Гурӯҳи Билдерберг,گروه بیلدربرگ
Гурӯҳи хунӣ,گروه خونی
Гус-Хрусталний,گوس-خروستالنی
Гусиноозерск,گوسینوزرسک
Гусман Перейра,گوسمان پریرا
Эдмунд Ҳуссерл,ادموند هوسرل
Густаво Албела,گوستاوو آلبلا
Густаво Алфаро,گوستاوو آلفارو
Густаво Бартелт,گوستاوو بارتلت
Густаво Бентос,گوستاوو بنتوس
Густаво Боу,گوستاو بو
Густаво Варела,گوستاوو وارلا
Густаво Веронеси,گوستاوو ویرونسی
Густаво Де Лука,گوستاوو د لوکا
Густаво Де Симоне,گوستاوو د سیمون
Густаво Запата,گوستاوو زاپاتا
Густаво Кабрал,گوستاوو کابرال
Густаво Мориниго,گوستاوو مورینیگو
Густаво Мунуа,گوستاوو مانووا
Густаво Нерй,گوستاوو نیری
Густаво Папа,گوستاوو پاپا
Густаво Сивиэро,گوستاوو سیویرو
Густау Биоска,گوستو بیوسکا
Гутҳо,گوت‌ها
Гуфтор,گفتار
Гӯшт,گوشت
Гуштосп,گشتاسپ
Куштӣ (варзиш),کشتی (ورزش)
Забони гуҷаротӣ,زبان گجراتی
Гэешти,گائشت
Курт Гӯдел,کورت گودل
Гёмеч,گومچ
Иоҳан Волфганг фон Гёте,یوهان ولفگانگ فون گوته
Гётит,گوتیت
Гӣ Пармелен,گی پارملین
Гӯр,گور
Гӯри Амир,گور امیر
Гӯристон,گورستان
Гӯритик,گوریتیک
Гӯсфанд,گوسفند
Гӯш,گوش
Дaшнор Бaязити,داشنور بایازیتی
Давлатҳои бостонии мардуми тоҷик,دولت‌های باستانی مردم تاجیک
Донишгоҳи миллии Тоҷикистон,دانشگاه ملی تاجیکستان
Ҷумҳурии Халқии Донетск,جمهوری خلق دونتسک
Ҷумҳурии Демократии Афғонистон,جمهوری دموکراتیک افغانستان
Хат (навиштор),خط (نوشتار)
Дави Кортес Да Силва,داوی کورتس دا سیلوا
Дави Ранкан,داوی رانکان
Давид Алаба,داوید آلابا
Давид Бен-Гурион,داوید بن گوریون
Давид Бомберг,دیوید بومبرگ
Давид Кроненберг,دیوید کراننبرگ
Давид Лойд Ҷорҷ,دیوید لوید جرج
Давидан,دویدن
Давлат,دولت
Давлати Исломии Афғонистон,دولت اسلامی افغانستان
Каёниён,کیانیان
Кувайт,کویت
Сарбадорон,سربداران
Шоҳаншоҳии Сосонӣ,شاهنشاهی ساسانی
Тоҳириён,طاهریان
Имперотурии Усмонӣ,امپراتوری عثمانی
Урорту,اورارتو
Давлати Фаластин,دولت فلسطین
Давлати Хоразмшоҳиён,دولت خوارزمشاهی
Шоҳаншоҳии Эрон,شاهنشاهی ایران
Давлати Юнонии Балх,دولت یونانی بلخ
Давлати электронӣ,دولت الکترونیک
Ғуриён,غوریان
Шоҳаншоҳии Ҳахоманишӣ,شاهنشاهی هخامنشی
Давлатманд Холов,دولتمند خالف
Ҷаҳони араб,جهان عرب
Феҳристи кишварҳои мустақил,فهرست کشورهای مستقل
Эрони Қоҷорӣ,ایران قاجاری
Мухтор валид Додоҳ,مختار ولد داداه
Дайя Вайдя,دایا وایدیا
Дакар,داکار
Дакота,داکوتا
Дакотаи Шимолӣ,داکوتای شمالی
Дакотаи Ҷанубӣ,داکوتای جنوبی
Далеки,دالکی
Далимамедли,دلی‌محمدلی
Долип Тоҳил,دالیپ تاهیل
Даллас Бей Скайпарк,دالاس بی اسکیپارک
Далнереченск,دالنرچنسک
Далёни Боло,دلیان بالا
Домон ва Диу,دامان و دیو
Даманҳур,دمنهور
Дамиа Абела,دامیا آبلا
Дамиа Сабатер,دمیا ساباتر
Термостат,ترموستات
Дамосанҷ,دماسنج
Дамюлс,دامولس
Дандон,دندان
Дандон-Ойлиқ,دندان اویلیق
Дандондард,دندان‌درد
Дандонпизишк,دندان‌پزشک
Дандонпизишкӣ,دندان‌پزشکی
Дани Абало,دنی آبالو
Дани Боррегеро,دانی بوررگرو
Дани Боузас,دنی بوزاس
Дани Иглесяс,دنی ایگلسیاس
Дани Калво,دانی کالوو
Дани Кансела,دنی کانسلا
Дани Карвахал,دنی کارواخال
Дани Кастелано,دنی کاستلانو
Дани Кинтана,دنی کینتانا
Дани Мало,دانی ملو
Дани Нието,دنی نیتو
Дани Олмо,دنی اولمو
Дани Освалдо,دنی اوسوالدو
Дани Понсе,دنی پونس
Дани Ромера,دنی رومرا
Дани Салас,دانی سالاس
Дани Себайёс,دنی سبایوس
Дани Тортолеро,دنی تورتلرو
Дани Эстрада,دنی استرادا
Даниел Дефо,دانیل دفو
Даниил Хармс,دانیل خارمس
Данила Козловский,دانیلا کوزلوفسکی
Данило Асевал,دانیلو اسوال
Данило Буэно,دانیلو بوئنو
Данило Габриэл Де Андраде,دانیلو گابریل دی آندراده
Данило Карандо,دنیلو کاراندو
Данило Лерда,دنیلو لردا
Данило Неко,دانیلو نیکو
Данило Риналди,دنیلو رینالدی
Данило Тосело,دنیلو توسلو
Данило Турсиос,دانیلو تورسیوس
Данило Фернандо Авелар,دنیلو فرناندو آولار
Данилсон Кордоба,دنیلسون کوردوبا
Даниэл Акино,دانیل اکینو
Даниэл Алберто,دنیل آلبرتو
Даниэл Алехандро Бертойя,دنیل الخاندرو برتویا
Даниэл Андрес Риос,دنیل آندرس ریوس
Даниэл Арансубия,دانیل آرانسوبیا
Даниэл Аяла,دنیل آیالا
Даниэл Балди,دنیل بالدی
Даниэл Бамберг,دانیل بامبرگ
Даниэл Билос,دنیل بیلوس
Даниэл Бланко,دنیل بلانکو
Даниэл Брайловскй,دنیل بریلوفسکی
Даниэл Вега,دنیل وگا
Даниэл Вилингтон,دنیل ویلینگتون
Даниэл Витери,دنیل ویتری
Даниэл Гарнеро,دنیل گارنرو
Даниэл Делфино,دنیل دلفینو
Даниэл Имперяле,دنیل امپریال
Даниэл Кадена,دانیل کادنا
Даниэл Камбронеро,دنیل کامبرونرو
Даниэл Карвалю,دانیل کاروالیو
Даниэл Карневали,دنیل کارنوالی
Даниэл Килер,دنیل کیلر
Даниэл Кинтерос,دنیل کوینتروس
Даниэл Колиндрес,دنیل کولیندرس
Даниэл Кордоне,دنیل کوردون
Даниэл Ласуре,دانیل لسر
Даниэл Лудуэня,دنیل لودونیا
Даниэл Марин,دنیل مارین
Даниэл Мехяс,دانیل مخیاس
Даниэл Монлор,دنیل مونلور
Даниэл Монтенегро,دانیل مونتنگرو
Даниэл Морон,دنیل مورون
Даниэл Олдра,دنیل اولدرا
Даниэл Олсина,دانیل اولسینا
Даниэл Онега,دانیل اونگا
Даниэл Парехо,دنیل پارخو
Даниэл Пеинадо,دنیل پینادو
Даниэл Пендин,دنیل پندین
Даниэл Пигин,دنیل پیگین
Даниэл Пинилос,دانیل پینیلوس
Даниэл Провенсио,دانیل پروونسیو
Даниэл Ромеро,دنیل رومرو
Даниэл Санабрия,دنیل سانابریا
Даниэл Сотрес,دانیل سوترس
Даниэл Торибио,دانیل توریبیو
Даниэл Ҷaфa,دنیل جافای
Данклер,دانکلر
Данрлей,دانرلی
Дао Бандон,داو باندون
Дар,در
Дардар,دردر
Дар имтидоди шаб,در امتداد شب
Дар ҷустуҷӯи хушбахтӣ,در جستجوی خوشبختی
Даран,داران
Дарахт,درخت
Дарвеш,درویش
Самоъ,سماع
Чарлз Дарвин,چارلز داروین
Даргаз,درگز
Даргаҳон,درگهان
Дарем,دورام
Дарзия,دروز
Дарио Верон,داریو ورن
Дарио Гандин,داریو گاندین
Дарио Каброл,داریو کابرول
Дарио Конка,داریو کونکا
Дарио Окампо,داریو اوکامپو
Дарио Сала,داریو سالا
Дарио Сивиски,داریو سیویسکی
Дарио Силва,داریو سیلوا
Дарио Фелман,داریو فلمن
Дарио Фигуэро,داریو فیگوئروآ
Дарио Франко,داریو فرانکو
Дарио Эспинола,داریو اسپینولا
Дарморахт,درمارخت
Даршил Сафарӣ,دارشیل سفری
Даръо,درعا
Дарё Алабора,دریا آلابورا
Фурот,فرات
Салуэн,سالوین
Сафедрӯд,سفیدرود
Сирдарё,سیردریا
Дарҷазин,درجزین
Тими миллии футболи Тоҷикистон,تیم ملی فوتبال تاجیکستان
Дастархон,دسترخوان
Дастгоҳи майкровейв,دستگاه مایکروویو
Дастури зоишӣ,دستور زایشی
Даулат Бег Олдӣ,داولت بگ اولدی
Дафтар,دفتر
Даҳон,دهان
Дашт,دشت
Дақёнус,دقیانوس
Даҳ (филм),ده (فیلم ۱۳۸۰)
Даҳаб,دهب
Даҳкат,داه‌کت
Дев Ананд,دو آناند
Девоногарӣ,دیواناگری
Деваштич,دیواشتیچ
Девид Кемерон,دیوید کامرون
Девор,دیوار
Девори Бузурги Чин,دیوار بزرگ چین
Девори бузург (филм),دیوار بزرگ (فیلم)
Дегтярск,دگتیارسک
Деде Андерсон,دیدی آندرسون
Додорбоварӣ,دادارباوری
Дейв Брубек,دیو بروبک
Дейвид Брюстер,دیوید بروستر
Дейвис (Калифорния),دیویس، کالیفرنیا
Дейл Карнегӣ,دیل کارنگی
Деко,دکو
Деламар Драй Лейк,دلامار درای لیک
Делио Толедо,دلو تولیدو
Демет Оздамир,دمت اوزدمیر
Деметрио Нейра,دمیتریو نرا
Ҷамъиятшиносӣ,جمعیت‌شناسی
Демокрит,دموکریت
Демӣ Мур,دمی مور
Дендрит,دندریت
Дензел Вашингтон,دنزل واشینگتن
Дениз Байсал,دنیز بایسال
Денизли,دنیزلی
Денилcон Антонио Палудо,دنیلسون آنتونیو پالودو
Денилcон Перейра Невес,دنیلسون پریرا نوس
Денис Волф,دنیس ولف
Денис Капуто,دنیس کاپوتو
Денис Силва,دنیس سیلوا
Денис Страккуалурси,دنیس استراکوالورسی
Денис Тумасян,دنیس توماسیان
Деҳнав (Ӯзбекистон),ده‌نو (ازبکستان)
Дербисек,دربیسک
Дербишир,داربی‌شر
Десногорск,دسنوگورسک
Ҷабргароӣ,جبرگرایی
Детройт,دیترویت
Дечин,دییچین
Надежденское (деҳа),نادژدنسکویه
Элок,ایلاک
Ғӯйтан,غویتان
Деҳистон,دهستان
Деҳистони Офтоб,دهستان آفتاب
Деҳистони Сулқон,دهستان سولقان
Деҳистони Халозир,دهستان خلازیر
Деҳкалон,ده کلان
Язғулом,یازغلام
Деҳоқон,دهاقان
Деҳқоид,دهقاید
Кишоварз,کشاورز
Джалма Сантос,دیژالما سانتوس
Ҷейн Аустен,جین آستن
Един Ҷеко,ادین جکو
Ҷефрӣ Чосер,جفری چاوسر
Ҷуртелеку Шимлеулуй,جورتلکو شیملیولوی
Зен,ذن
Ҷуду,جودو
Дилмо Русеф,دیلما روسف
Диан Кеатон,دایان کیتن
Диастола,دیاستول
Дивид Подйо,دیوید پادیا
Дивид Туру,دیوید تورو
Дивя Бҳартӣ,دیویا بهرتی
Дигора,دیگورا
Чашм,چشم
Диего Алберто Моралес,دیگو آلبرتو مورالس
Диего Алонсо,دیگو آلونسو
Диего Антон,دیگو انتون
Диего Арисменди,دیگو آریسمندی
Диего Барданка,دیگو باردانکا
Диего Брагиэри,دیگو براگیری
Диего Валери,دیگو والری
Диего Вилар,دیگو ویلار
Диего Гавилан,دیگو گاویلان
Диего Галван,دیگو گالوان
Диего Гуиди,دیگو گویدی
Диего Даниэл Бустос,دیگو دانیل بوستوس
Диего Калгаро,دیگو کالگارو
Диего Каскон,دیگو کاسکون
Диего Кастанйо,دیگو کاستانیو
Диего Кастро,دیگو کاسترو
Диего Кинтана,دیگو کوئینتانا
Диего Коста Силва,دیگو کوستا سیلوا
Диего Кроса,دیگو کروسا
Диего Лагос,دیگو لاگوس
Диего Лакслт,دیگو لاکسالت
Диего Леон,دیگو لئون
Диего Лопис,دیگو لوپیس
Диего Лугано,دیگو لوگانو
Диего Маринйо,دیگو مارینیو
Диего Матео,دیگو متئو
Диего Менги,دیگو منگی
Диего Милито,دیگو میلیتو
Диего Надайя,دیگو نادایا
Диего Полента,دیگو پولنتا
Диего Раймонди,دیگو ریموندی
Диего Рибера,دیگو ریبرا
Диего Риварола,دیگو ریوارولا
Диего Риверо,دیگو ریورو
Диего Рико,دیگو ریکو
Диего Ролан,دیگو رولان
Диего Романо,دیگو رومانو
Диего Сегура,دیگو سگورا
Диего Серверо,دیگو سرورو
Диего Синагра,دیگو سیناگرا
Диего Сонйора,دیگو سونورا
Диего Тристан,دیگو تریستن
Диего Фариас,دیگو فریاس
Диего Фигередо,دیگو فیگردو
Диего Форлан,دیگو فورلان
Диего Эрнан Моралес,دیگو هرنان مورالس
Диетер Эйлтс,دیتر آیلتس
Дизфӯл,دزفول
Диктатор,دیکتاتور
Диктатура,دیکتاتوری
Диктатураи пролетариат,دیکتاتوری پرولتاریا
Дилан О'Брайен,دیلن اوبرایان
Дилӣ,دیلی
Дилип Кумар,دیلیپ کومار
Дилоро Аксуек,دلارا آک‌سویک
Димас Делгадо,دیماس دلگادو
Дин,دین
Дин дар Тоҷикистон,دین در تاجیکستان
Ислом,اسلام
Ислом дар Фаронса,اسلام در فرانسه
Дини Мисри Бостон,دین مصر باستان
Маздаясно,مزدیسنا
Динийар Билялетдинов,دینیار بیلیالتدینوف
Дино Мореа,دینو مورئا
Динори Алҷазоир,دینار الجزایر
Динори Иордания,دینار اردن
Динори Ироқ,دینار عراق
Динори Кувейт,دینار کویت
Динори Либиё,دینار لیبی
Динори Тунисия,دینار تونس
Диого Орландо,دیاگو اورلاندو
Диого Пинйеро,دیاگو پینیرو
Диого Ринкон,دیاگو رینکون
Диого Родригес Cистон,دیاگو رودریگز سیستون
Диого Сантос Рангел,دیاگو سانتوس رانگل
Дионисио Уррейсти,دیونیسیو اورریستی
Дипломат,دیپلمات
Диплумосӣ,دیپلماسی
Дирафши Ковиёнӣ,درفش کاویانی
Дирҳами Иморот,درهم امارات
Дирҳами Марокаш,درهم مراکش
Диспур,دیسپور
Диэлектрик,دی‌الکتریک
Дия Мирзо,دیا میرزا
Диёрбакр,دیاربکر
Диҳлурон,دهلران
Дмитри Алексейевич Давидов,دیمیتری الکسی‌ویچ داویدوف
Дмитрий Буликин,دمیتری بولیکین
Дмитри Вязмикин,دمیتری ویازمیکین
Дмитри Гуз,دمیتری گوز
Дмитри Зинович,دمیتری زینوویچ
Дмитри Кириченко,دمیتری کیریچنکو
Дмитри Комбаров,دیمیتری کومباروف
Дмитри Липартов,دمیتری لیپارتوف
Дмитри Радченко,دمیتری رادچنکو
Дмитри Сичев,دیمیتری سیچو
Дмитри Торбински,دمیتری توربینسکی
Дмитри Харине,دمیتری خارین
Дмитрий Менделеев,دمیتری مندلیف
Дмитрий Кабалевский,دمیتری کابالفسکی
Дмитрий Шостакович,دمیتری شوستاکوویچ
Днеправиа,دنیپرواویا
Добари Сао Томе ва Принсип,دبرای سائوتومه و پرنسیپ
Доварзан,داورزن
Додома,دودوما
Долари Ҷазираҳои Соломон,دلار جزایر سلیمان
Долинск,دولینسک
Доллари Барбадос,دلار باربادوس
Доллари Тринидад ва Тобаго,دلار ترینیداد و توباگو
Доллари Ҳонг Конг,دلار هنگ کنگ
Долф Лундгрен,دولف لاندگرن
Домèнек Балманя,دومینک بالمانیا
Домғон,دامغان
Доминго Аседо,دومینگو آسدو
Доминго Бенегас,دومینگو بنگاس
Доминго Залдуа,دومینگو زالدوا
Доминго Тараскони,دومینگو تراسکونی
Доминика,دومینیکا
Ҷумҳурии Доминикан,جمهوری دومینیکن
Қаламрави Покистон,قلمروی پاکستان
Домод,داماد
Домон (шаҳр),دامان (شهر)
Доналд Трамп,دونالد ترامپ
Донато Гама Да Силва,دوناتو گاما دا سیلوا
Донги Вйетнам,دانگ ویتنام
Донетск,دونتسک
Донис Эскобер,دونیس اسکوبر
Дониш,دانش
Донишгоҳи давлатии Хоруғ,دانشگاه دولتی خاروغ
Донишгоҳ,دانشگاه
Донишгоҳи Ёрк,دانشگاه یورک
Донишгоҳи Айова,دانشگاه آیووا
Донишгоҳи Алҷазоир,دانشگاه الجزیره
Донишгоҳи Аризона,دانشگاه آریزونا
Донишгоҳи Базел,دانشگاه بازل
Донишгоҳи Баламанд,دانشگاه بلمند
Донишгоҳи Баъс,دانشگاه بعث
Донишгоҳи Бирмингҳам,دانشگاه بیرمنگام
Донишгоҳи Болтон,دانشگاه بولتون
Донишгоҳи Бостон,دانشگاه بوستون
Донишгоҳи Брадфорд,دانشگاه برادفورد
Донишгоҳи Браун,دانشگاه براون
Донишгоҳи Бристол,دانشگاه بریستول
Донишгоҳи Бритон,دانشگاه برایتون
