tj;fa
зар бимонад некному бе зи шак;زر بماند نیک نام و بی‌ز شک
то муборак гардад аз иқдоми ту;تا مبارک گردد از اقدام تو
гуҳарпарвар;گهر‌پرور
зиёфатхӯр;ضیافت‌خور
худобехабар;خدا‌بیخبر
чингак;چنگک
арҳамарроҳимин;ارحم‌الراحمین
симфония;سمفانیه
чӣ шараф ёбад зи киштӣ баҳри дур?;چه شرف یابد ز کشتی بحر در
пеши шере оҳуе беҳуш шуд;پیش شیری آهوی بیهوش شد
